"","Date reported to Alberta Health","Number of lab tests","Cumulative number of lab tests","Number of cases","Cumulative number of cases","Currently hospitalized","Currently in ICU","Cumulative number of deaths","Number of deaths","Number of variants of concern","Percent positivity"
"1",2020-03-06,60,511,1,1,0,0,0,0,0,5
"2",2020-03-07,281,792,0,0,0,0,0,0,0,0
"3",2020-03-08,454,1246,0,0,0,0,0,0,0,0
"4",2020-03-09,643,1889,6,7,1,0,0,0,0,1.71
"5",2020-03-10,784,2673,9,16,1,0,0,0,0,1.91
"6",2020-03-11,1334,4007,7,23,1,0,0,0,0,0.6
"7",2020-03-12,1147,5154,3,26,2,1,0,0,0,0.26
"8",2020-03-13,1587,6741,8,34,5,2,0,0,0,1.2
"9",2020-03-14,1555,8296,22,56,5,2,0,0,0,1.93
"10",2020-03-15,1834,10130,11,67,5,2,0,0,0,0.87
"11",2020-03-16,1485,11615,24,91,6,2,0,0,0,2.63
"12",2020-03-17,2083,13698,11,102,7,3,0,0,0,0.48
"13",2020-03-18,2878,16576,29,131,12,3,1,1,0,1.88
"14",2020-03-19,2869,19445,32,163,15,8,1,0,0,1.67
"15",2020-03-20,3593,23038,47,210,16,9,1,0,0,1.64
"16",2020-03-21,3507,26545,35,245,19,10,1,0,0,1.17
"17",2020-03-22,2854,29399,47,292,20,10,1,0,0,1.26
"18",2020-03-23,2728,32127,53,345,22,10,1,0,0,1.65
"19",2020-03-24,3143,35270,68,413,29,11,1,0,0,1.81
"20",2020-03-25,1645,36915,63,476,33,11,1,0,0,3.65
"21",2020-03-26,1316,38231,53,529,34,11,1,0,0,2.74
"22",2020-03-27,3697,41928,85,614,35,13,1,0,0,2.41
"23",2020-03-28,2145,44073,54,668,38,14,1,0,0,2
"24",2020-03-29,1929,46002,34,702,41,15,5,4,0,0.98
"25",2020-03-30,2549,48551,40,742,43,17,10,5,0,1.18
"26",2020-03-31,4770,53321,132,874,43,18,11,1,0,2.56
"27",2020-04-01,3610,56931,108,982,42,20,12,1,0,2.3
"28",2020-04-02,4009,60940,122,1104,43,20,15,3,0,2.34
"29",2020-04-03,1723,62663,70,1174,45,19,18,3,0,2.44
"30",2020-04-04,1807,64470,60,1234,47,20,23,5,0,2.6
"31",2020-04-05,1185,65655,42,1276,44,20,25,2,0,3.21
"32",2020-04-06,941,66596,34,1310,45,18,28,3,0,2.66
"33",2020-04-07,1705,68301,53,1363,46,16,28,0,0,2.29
"34",2020-04-08,1288,69589,33,1396,49,16,32,4,0,2.17
"35",2020-04-09,2291,71880,45,1441,50,15,36,4,0,1.48
"36",2020-04-10,2851,74731,49,1490,52,15,40,4,0,1.4
"37",2020-04-11,2240,76971,65,1555,52,15,45,5,0,2.14
"38",2020-04-12,2305,79276,68,1623,50,15,45,0,0,2.52
"39",2020-04-13,2136,81412,68,1691,49,14,48,3,0,2.76
"40",2020-04-14,2572,83984,127,1818,48,15,48,0,0,4.67
"41",2020-04-15,3092,87076,133,1951,55,12,50,2,0,3.85
"42",2020-04-16,3099,90175,146,2097,58,13,50,0,0,4.94
"43",2020-04-17,5238,95413,213,2310,63,14,54,4,0,4.01
"44",2020-04-18,3800,99213,187,2497,56,16,57,3,0,4.79
"45",2020-04-19,4370,103583,201,2698,62,19,62,5,0,4.51
"46",2020-04-20,4009,107592,183,2881,62,18,66,4,0,4.71
"47",2020-04-21,4313,111905,264,3145,61,20,72,6,0,5.91
"48",2020-04-22,4057,115962,294,3439,64,19,75,3,0,7.2
"49",2020-04-23,4471,120433,340,3779,65,18,80,5,0,7.67
"50",2020-04-24,4531,124964,232,4011,70,21,80,0,0,5.16
"51",2020-04-25,4664,129628,222,4233,70,19,84,4,0,4.97
"52",2020-04-26,4301,133929,203,4436,75,21,88,4,0,4.49
"53",2020-04-27,3444,137373,178,4614,77,20,90,2,0,5.14
"54",2020-04-28,4362,141735,249,4863,79,23,94,4,0,5.89
"55",2020-04-29,5077,146812,231,5094,86,22,96,2,0,4.53
"56",2020-04-30,5035,151847,222,5316,89,22,100,4,0,4.37
"57",2020-05-01,2847,154694,141,5457,82,23,102,2,0,4.25
"58",2020-05-02,4970,159664,112,5569,83,19,104,2,0,2.25
"59",2020-05-03,3244,162908,70,5639,83,21,106,2,0,2.37
"60",2020-05-04,2557,165465,79,5718,82,21,107,1,0,2.89
"61",2020-05-05,3032,168497,62,5780,84,20,111,4,0,2.01
"62",2020-05-06,2882,171379,65,5845,79,19,112,1,0,2.22
"63",2020-05-07,4135,175514,87,5932,78,18,115,3,0,2.18
"64",2020-05-08,3781,179295,77,6009,73,16,115,0,0,2.17
"65",2020-05-09,4214,183509,85,6094,64,14,117,2,0,1.97
"66",2020-05-10,3260,186769,71,6165,65,12,118,1,0,2.18
"67",2020-05-11,2793,189562,47,6212,64,11,121,3,0,1.75
"68",2020-05-12,3756,193318,70,6282,65,11,124,3,0,1.86
"69",2020-05-13,4409,197727,62,6344,61,9,124,0,0,1.47
"70",2020-05-14,4767,202494,61,6405,57,9,125,1,0,1.26
"71",2020-05-15,4700,207194,73,6478,52,9,126,1,0,1.57
"72",2020-05-16,3986,211180,54,6532,50,8,128,2,0,1.4
"73",2020-05-17,3189,214369,46,6578,50,9,129,1,0,1.57
"74",2020-05-18,3230,217599,38,6616,50,9,131,2,0,1.24
"75",2020-05-19,2503,220102,43,6659,45,8,132,1,0,1.8
"76",2020-05-20,3277,223379,27,6686,44,7,136,4,0,0.92
"77",2020-05-21,3722,227101,30,6716,42,6,138,2,0,0.83
"78",2020-05-22,3823,230924,27,6743,39,6,138,0,0,0.86
"79",2020-05-23,3861,234785,32,6775,35,7,139,1,0,0.83
"80",2020-05-24,3234,238019,29,6804,33,6,139,0,0,0.87
"81",2020-05-25,2958,240977,13,6817,33,5,141,2,0,0.44
"82",2020-05-26,3056,244033,19,6836,33,5,143,2,0,0.65
"83",2020-05-27,3603,247636,27,6863,31,4,143,0,0,0.78
"84",2020-05-28,3903,251539,28,6891,32,4,143,0,0,0.74
"85",2020-05-29,3862,255401,30,6921,33,5,144,1,0,0.78
"86",2020-05-30,3364,258765,20,6941,27,6,144,0,0,0.62
"87",2020-05-31,3133,261898,34,6975,24,6,144,0,0,1.09
"88",2020-06-01,2734,264632,21,6996,24,6,145,1,0,0.77
"89",2020-06-02,4055,268687,19,7015,25,6,146,1,0,0.62
"90",2020-06-03,4781,273468,18,7033,20,6,147,1,0,0.38
"91",2020-06-04,5416,278884,19,7052,18,5,147,0,0,0.39
"92",2020-06-05,5604,284488,37,7089,18,5,148,1,0,0.75
"93",2020-06-06,5870,290358,23,7112,18,5,150,2,0,0.44
"94",2020-06-07,5490,295848,33,7145,20,5,150,0,0,0.62
"95",2020-06-08,4976,300824,24,7169,19,5,151,1,0,0.52
"96",2020-06-09,5923,306747,38,7207,16,5,151,0,0,0.69
"97",2020-06-10,6850,313597,48,7255,16,4,151,0,0,0.73
"98",2020-06-11,8477,322074,43,7298,16,4,151,0,0,0.51
"99",2020-06-12,6183,328257,27,7325,20,5,151,0,0,0.44
"100",2020-06-13,7665,335922,35,7360,18,5,151,0,0,0.52
"101",2020-06-14,7459,343381,53,7413,20,6,151,0,0,0.76
"102",2020-06-15,6366,349747,36,7449,25,6,151,0,0,0.58
"103",2020-06-16,6970,356717,45,7494,27,7,151,0,0,0.67
"104",2020-06-17,7821,364538,46,7540,28,7,152,1,0,0.64
"105",2020-06-18,9100,373638,46,7586,30,6,152,0,0,0.57
"106",2020-06-19,7399,381037,47,7633,30,6,152,0,0,0.65
"107",2020-06-20,8324,389361,30,7663,27,7,152,0,0,0.38
"108",2020-06-21,6895,396256,33,7696,28,6,153,1,0,0.51
"109",2020-06-22,6542,402798,41,7737,26,6,153,0,0,0.61
"110",2020-06-23,6518,409316,45,7782,28,7,153,0,0,0.81
"111",2020-06-24,6367,415683,25,7807,27,8,153,0,0,0.47
"112",2020-06-25,6634,422317,36,7843,30,8,154,1,0,0.57
"113",2020-06-26,6396,428713,66,7909,32,8,154,0,0,1.13
"114",2020-06-27,6509,435222,37,7946,32,8,154,0,0,0.61
"115",2020-06-28,6997,442219,68,8014,32,9,154,0,0,1.03
"116",2020-06-29,7200,449419,44,8058,32,9,154,0,0,0.64
"117",2020-06-30,6952,456371,33,8091,32,8,155,1,0,0.62
"118",2020-07-01,7675,464046,64,8155,30,8,155,0,0,0.86
"119",2020-07-02,6739,470785,56,8211,33,9,155,0,0,0.91
"120",2020-07-03,5960,476745,30,8241,38,8,155,0,0,0.55
"121",2020-07-04,5544,482289,47,8288,46,7,156,1,0,0.9
"122",2020-07-05,5602,487891,48,8336,46,6,156,0,0,1.09
"123",2020-07-06,6014,493905,49,8385,47,6,156,0,0,0.78
"124",2020-07-07,6268,500173,44,8429,47,7,158,2,0,0.78
"125",2020-07-08,6970,507143,43,8472,41,7,159,1,0,0.66
"126",2020-07-09,7804,514947,74,8546,41,9,162,3,0,0.96
"127",2020-07-10,7528,522475,62,8608,43,8,162,0,0,0.85
"128",2020-07-11,10003,532478,90,8698,44,11,162,0,0,1.01
"129",2020-07-12,7595,540073,78,8776,46,13,162,0,0,1.12
"130",2020-07-13,5809,545882,87,8863,56,13,163,1,0,1.62
"131",2020-07-14,6386,552268,85,8948,61,7,166,3,0,1.44
"132",2020-07-15,8225,560493,115,9063,64,8,166,0,0,1.62
"133",2020-07-16,6485,566978,103,9166,68,15,167,1,0,1.73
"134",2020-07-17,9719,576697,168,9334,75,16,167,0,0,1.89
"135",2020-07-18,6857,583554,102,9436,75,15,170,3,0,1.63
"136",2020-07-19,6961,590515,88,9524,76,17,171,1,0,1.39
"137",2020-07-20,7818,598333,131,9655,85,16,173,2,0,1.69
"138",2020-07-21,8156,606489,136,9791,92,18,175,2,0,1.77
"139",2020-07-22,8230,614719,113,9904,94,21,177,2,0,1.37
"140",2020-07-23,8741,623460,116,10020,90,21,179,2,0,1.4
"141",2020-07-24,10589,634049,117,10137,88,16,182,3,0,1.18
"142",2020-07-25,9855,643904,98,10235,78,16,184,2,0,1.07
"143",2020-07-26,7443,651347,89,10324,79,17,187,3,0,1.36
"144",2020-07-27,7910,659257,81,10405,79,15,190,3,0,1.13
"145",2020-07-28,8989,668246,131,10536,76,16,194,4,0,1.57
"146",2020-07-29,8674,676920,118,10654,77,17,195,1,0,1.43
"147",2020-07-30,8392,685312,124,10778,75,16,196,1,0,1.55
"148",2020-07-31,11514,696826,99,10877,75,17,200,4,0,1.01
"149",2020-08-01,9148,705974,67,10944,71,18,200,0,0,0.75
"150",2020-08-02,6934,712908,73,11017,72,17,200,0,0,1.1
"151",2020-08-03,7246,720154,64,11081,72,22,203,3,0,1.02
"152",2020-08-04,7203,727357,94,11175,65,21,204,1,0,1.36
"153",2020-08-05,7991,735348,61,11236,62,19,207,3,0,0.76
"154",2020-08-06,8561,743909,128,11364,55,18,209,2,0,1.55
"155",2020-08-07,8780,752689,111,11475,54,17,209,0,0,1.34
"156",2020-08-08,10167,762856,97,11572,54,18,214,5,0,0.97
"157",2020-08-09,7414,770270,45,11617,51,15,216,2,0,0.63
"158",2020-08-10,7061,777331,86,11703,49,15,218,2,0,1.39
"159",2020-08-11,8078,785409,116,11819,47,14,220,2,0,1.57
"160",2020-08-12,7752,793161,72,11891,49,13,222,2,0,1.02
"161",2020-08-13,8210,801371,81,11972,48,13,222,0,0,1.12
"162",2020-08-14,10890,812261,104,12076,46,13,222,0,0,0.99
"163",2020-08-15,8658,820919,83,12159,48,13,225,3,0,0.95
"164",2020-08-16,8693,829612,95,12254,50,11,226,1,0,1.13
"165",2020-08-17,8034,837646,85,12339,53,14,227,1,0,1.19
"166",2020-08-18,9037,846683,81,12420,52,15,228,1,0,1.01
"167",2020-08-19,9294,855977,101,12521,50,15,229,1,0,1.25
"168",2020-08-20,9870,865847,140,12661,44,12,229,0,0,1.45
"169",2020-08-21,10176,876023,88,12749,48,12,231,2,0,0.9
"170",2020-08-22,10096,886119,103,12852,47,10,232,1,0,1.05
"171",2020-08-23,8498,894617,70,12922,48,10,236,4,0,0.87
"172",2020-08-24,8446,903063,73,12995,48,8,236,0,0,0.96
"173",2020-08-25,9248,912311,125,13120,51,8,236,0,0,1.44
"174",2020-08-26,10103,922414,104,13224,53,8,237,1,0,1.17
"175",2020-08-27,10997,933411,153,13377,51,8,237,0,0,1.42
"176",2020-08-28,10223,943634,142,13519,47,9,237,0,0,1.44
"177",2020-08-29,11224,954858,181,13700,44,9,237,0,0,1.75
"178",2020-08-30,12265,967123,109,13809,49,11,238,1,0,1.02
"179",2020-08-31,9342,976465,152,13961,52,11,239,1,0,1.69
"180",2020-09-01,8305,984770,109,14070,53,10,240,1,0,1.38
"181",2020-09-02,9557,994327,132,14202,50,10,240,0,0,1.44
"182",2020-09-03,10721,1005048,157,14359,52,11,241,1,0,1.5
"183",2020-09-04,11395,1016443,169,14528,52,13,242,1,0,1.61
"184",2020-09-05,11374,1027817,168,14696,51,13,244,2,0,1.58
"185",2020-09-06,12100,1039917,134,14830,49,11,245,1,0,1.19
"186",2020-09-07,12570,1052487,147,14977,48,10,249,4,0,1.26
"187",2020-09-08,10507,1062994,97,15074,49,7,250,1,0,1
"188",2020-09-09,9716,1072710,113,15187,44,7,250,0,0,1.25
"189",2020-09-10,11983,1084693,116,15303,42,6,251,1,0,0.98
"190",2020-09-11,12763,1097456,115,15418,43,6,252,1,0,0.94
"191",2020-09-12,18919,1116375,165,15583,44,7,252,0,0,0.89
"192",2020-09-13,14459,1130834,138,15721,41,7,252,0,0,1
"193",2020-09-14,12992,1143826,123,15844,48,9,252,0,0,0.96
"194",2020-09-15,12546,1156372,170,16014,46,8,252,0,0,1.41
"195",2020-09-16,18136,1174508,182,16196,47,8,252,0,0,1.05
"196",2020-09-17,12707,1187215,125,16321,51,8,252,0,0,1.05
"197",2020-09-18,13830,1201045,137,16458,58,9,252,0,0,1.03
"198",2020-09-19,14062,1215107,120,16578,59,11,253,1,0,0.89
"199",2020-09-20,16261,1231368,152,16730,60,12,254,1,0,0.96
"200",2020-09-21,13500,1244868,156,16886,60,12,256,2,0,1.24
"201",2020-09-22,13663,1258531,128,17014,61,13,258,2,0,1
"202",2020-09-23,13663,1272194,129,17143,64,15,260,2,0,1.04
"203",2020-09-24,16685,1288879,124,17267,68,15,260,0,0,0.85
"204",2020-09-25,14630,1303509,175,17442,70,16,261,1,0,1.28
"205",2020-09-26,18583,1322092,155,17597,69,16,262,1,0,0.91
"206",2020-09-27,14135,1336227,121,17718,72,14,263,1,0,0.94
"207",2020-09-28,12583,1348810,127,17845,70,12,263,0,0,1.08
"208",2020-09-29,15567,1364377,175,18020,70,12,264,1,0,1.16
"209",2020-09-30,15243,1379620,154,18174,74,13,268,4,0,1.05
"210",2020-10-01,14111,1393731,147,18321,74,15,271,3,0,1.16
"211",2020-10-02,15888,1409619,222,18543,79,16,275,4,0,1.5
"212",2020-10-03,14894,1424513,195,18738,80,16,277,2,0,1.35
"213",2020-10-04,14479,1438992,213,18951,76,14,278,1,0,1.49
"214",2020-10-05,18042,1457034,206,19157,79,16,278,0,0,1.2
"215",2020-10-06,11770,1468804,243,19400,88,15,280,2,0,2.12
"216",2020-10-07,13980,1482784,218,19618,92,13,281,1,0,1.68
"217",2020-10-08,15356,1498140,186,19804,91,11,282,1,0,1.35
"218",2020-10-09,16199,1514339,258,20062,91,12,283,1,0,1.67
"219",2020-10-10,13888,1528227,250,20312,98,14,284,1,0,1.93
